threshold,r2_change_pct,r2_loss_mean,r2_loss_median,r2_changed,r2_total,aicc_change_pct,aicc_loss_mean,aicc_loss_median,aicc_changed,aicc_total
400,5.870445344129554,5.912909830721373,0.027232888437356273,29,494,13.333333333333334,10.146250323404342,3.904764172980549,10,75
500,5.465587044534413,6.347411297190575,0.025141920318716426,27,494,12.0,10.74399193145367,3.4805071834266528,9,75
600,4.8582995951417,7.021101135221522,0.020860337034422916,24,494,10.666666666666668,11.821836870550072,5.603731152585624,8,75
700,4.048582995951417,8.422404305129959,0.02618740437803635,20,494,9.333333333333334,13.510520538623203,7.726955121744595,7,75
800,3.643724696356275,4.642782826326349,0.011137900669189182,18,494,8.0,14.747963250682725,8.138087577467104,6,75
900,3.2388663967611335,5.222063390485569,0.016216301356597462,16,494,6.666666666666667,17.265033103623818,7.726955121744595,5,75
1000,2.834008097165992,5.968070123899703,0.030598742649801114,14,494,6.666666666666667,17.265033103623818,7.726955121744595,5,75
1100,2.0242914979757085,8.16683582835333,0.01616899836594521,10,494,5.333333333333334,5.973727350268973,7.056809656818473,4,75
1200,1.8218623481781375,9.069930549389547,0.005105108294534144,9,494,5.333333333333334,3.5515754974853735,3.236128849328452,4,75
1400,1.417004048582996,0.031138688468723696,0.0007277920269999072,7,494,5.333333333333334,3.5515754974853735,3.236128849328452,4,75
1500,1.417004048582996,0.031138688468723696,0.0007277920269999072,7,494,5.333333333333334,3.5515754974853735,3.236128849328452,4,75
1800,1.214574898785425,0.03621732538554949,0.0026522461629541194,6,494,5.333333333333334,3.540421288167579,3.21586254882061,4,75
2000,1.214574898785425,0.03621585996895586,0.0026522461629541194,6,494,5.333333333333334,3.5397679847195036,3.21586254882061,4,75
2200,0.8097165991902834,0.053097630294582365,0.013807989168757029,4,494,4.0,4.719560073128605,6.386664191892351,3,75
2500,0.6072874493927125,0.009209738811077894,0.00038308990015778477,3,494,2.666666666666667,3.886008013746732,3.886008013746732,2,75
3000,0.6072874493927125,0.009153680880332377,0.00021491610792123694,3,494,2.666666666666667,3.876118235137824,3.876118235137824,2,75
3500,0.4048582995951417,0.013618096570605642,0.013618096570605642,2,494,1.3333333333333335,7.726955121744595,7.726955121744595,1,75
4000,0.0,0,0,0,494,0.0,0,0,0,75
5000,0.0,0,0,0,494,0.0,0,0,0,75
6000,0.0,0,0,0,494,0.0,0,0,0,75
8000,0.0,0,0,0,494,0.0,0,0,0,75
10000,0.0,0,0,0,494,0.0,0,0,0,75
